"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z210","2019-10-09 00:00:00","126.000","75.000","1.000","23.200","0.920","1005.300","","0.000","-99.000","-99.000","-99.000","27.800","","20.600",""
"C0U770","2019-10-09 00:00:00","5.000","314.000","4.200","22.600","0.760","1018.000","","7.000","-99.000","-99.000","-99.000","28.000","","22.400",""
"C0Z080","2019-10-09 00:00:00","298.000","341.000","0.300","20.800","0.950","984.900","","0.000","-99.000","-99.000","-99.000","31.200","","20.200",""
"C0G640","2019-10-09 00:00:00","17.000","0.000","0.000","24.000","0.810","1014.300","","0.000","-99.000","-99.000","-99.000","30.900","","23.900",""
"C0X200","2019-10-09 00:00:00","61.000","52.000","0.500","25.900","0.960","1008.100","","0.000","-99.000","-99.000","-99.000","31.300","","24.000",""
"C0U900","2019-10-09 00:00:00","63.000","224.000","1.400","23.100","0.860","1012.400","","3.000","-99.000","-99.000","-99.000","26.500","","22.700",""
"C0Z230","2019-10-09 00:00:00","31.000","305.000","4.900","24.200","0.670","1015.700","","3.000","-99.000","-99.000","-99.000","26.900","","23.300",""
"C0F9O0","2019-10-09 00:00:00","175.000","0.000","0.100","27.100","0.880","995.000","","0.000","-99.000","-99.000","-99.000","31.500","","24.800",""
"C0K560","2019-10-09 00:00:00","117.000","118.000","0.500","25.400","0.910","1002.300","","0.000","-99.000","-99.000","-99.000","32.200","","23.800",""
"C0C630","2019-10-09 00:00:00","209.000","57.000","2.200","23.400","0.810","993.100","","0.000","-99.000","-99.000","-99.000","28.100","","23.400",""
"C0D550","2019-10-09 00:00:00","1956.000","0.000","0.200","14.400","0.970","815.600","","0.000","-99.000","-99.000","-99.000","21.100","","13.800",""
"C0T9E0","2019-10-09 00:00:00","415.000","0.000","0.000","20.100","0.910","972.800","","2.500","-99.000","-99.000","-99.000","26.000","","20.100",""
"C0U960","2019-10-09 00:00:00","1885.000","185.000","0.900","10.600","0.990","820.000","","0.000","-99.000","-99.000","-99.000","19.600","","10.500",""
"C0AI30","2019-10-09 00:00:00","26.000","114.000","3.900","25.100","0.910","1015.400","","0.000","-99.000","-99.000","-99.000","28.400","","25.100",""
"C0R240","2019-10-09 00:00:00","87.000","45.000","0.300","24.200","0.990","1005.000","","0.000","-99.000","-99.000","-99.000","31.700","","23.300",""
"C0AD30","2019-10-09 00:00:00","20.000","126.000","3.000","25.800","0.800","1013.500","","0.000","-99.000","-99.000","-99.000","29.300","","25.800",""
"C0D430","2019-10-09 00:00:00","87.000","0.000","0.000","23.700","0.790","1004.600","","0.000","-99.000","-99.000","-99.000","31.700","","20.500",""
"C0X210","2019-10-09 00:00:00","38.000","183.000","0.900","26.200","0.890","1009.100","","0.000","-99.000","-99.000","-99.000","31.500","","23.900",""
"C0R680","2019-10-09 00:00:00","13.000","63.000","5.700","26.600","-99.000","1013.800","","0.000","-99.000","-99.000","-99.000","29.000","","25.800",""
"C0AH10","2019-10-09 00:00:00","30.000","138.000","1.900","25.200","0.870","1013.300","","0.000","-99.000","-99.000","-99.000","29.000","","24.900",""
"C0O960","2019-10-09 00:00:00","112.000","155.000","0.800","25.200","0.910","1002.500","","0.000","-99.000","-99.000","-99.000","30.200","","24.000",""
"C0H950","2019-10-09 00:00:00","192.000","0.000","0.000","24.400","0.990","993.900","","0.000","-99.000","-99.000","-99.000","32.000","","22.200",""
"C0C690","2019-10-09 00:00:00","242.000","137.000","1.000","22.900","0.840","989.900","","0.000","-99.000","-99.000","-99.000","27.600","","22.900",""
"C0V370","2019-10-09 00:00:00","74.000","0.000","0.000","24.500","1.000","1007.300","","0.000","-99.000","-99.000","-99.000","31.600","","23.300",""
"C0I110","2019-10-09 00:00:00","161.000","142.000","0.900","25.900","0.840","997.400","","0.000","-99.000","-99.000","-99.000","31.100","","24.000",""
"C0M750","2019-10-09 00:00:00","10.000","69.000","0.500","27.000","0.750","1013.800","","0.000","-99.000","-99.000","-99.000","29.900","","25.000",""
"C0U970","2019-10-09 00:00:00","7.000","359.000","1.500","23.500","0.900","1018.500","","3.000","-99.000","-99.000","-99.000","29.000","","23.500",""
"C0X300","2019-10-09 00:00:00","70.000","0.000","0.000","25.300","0.930","1007.100","","0.500","-99.000","-99.000","-99.000","31.900","","23.200",""
"C0R480","2019-10-09 00:00:00","57.000","0.000","0.000","25.900","0.850","1008.600","","0.000","-99.000","-99.000","-99.000","32.300","","24.400",""
"C0A9E0","2019-10-09 00:00:00","26.000","155.000","1.500","25.700","0.810","1015.200","","0.000","-99.000","-99.000","-99.000","29.400","","25.500",""
"C0R590","2019-10-09 00:00:00","72.000","98.000","0.900","25.000","0.990","1006.900","","4.500","-99.000","-99.000","-99.000","31.500","","24.500",""
"C0G820","2019-10-09 00:00:00","29.000","0.000","0.000","25.900","0.820","1010.800","","0.000","-99.000","-99.000","-99.000","32.600","","25.100",""
"C0U600","2019-10-09 00:00:00","10.000","321.000","0.900","22.900","0.990","1016.900","","3.000","-99.000","-99.000","-99.000","28.400","","22.900",""
"C0U910","2019-10-09 00:00:00","17.000","8.000","1.000","23.600","0.810","1016.500","","1.500","-99.000","-99.000","-99.000","26.700","","23.400",""
"C0D650","2019-10-09 00:00:00","97.000","80.000","4.400","25.000","0.760","1005.100","","0.000","-99.000","-99.000","-99.000","29.300","","24.600",""
